id,value
105810,1
131531,0
119195,1
109017,0
105199,0
129859,2
105230,0
122763,0
128302,0
120342,0
109684,3
119797,1
104428,1
132324,2
105879,0
107687,0
111466,0
116592,0
107711,0
120902,0
120766,1
131762,0
114233,0
123548,0
132002,0
132208,7
116178,1
113067,0
128766,1
120007,1
115527,1
105855,1
113311,4
103804,2
115142,1
127336,1
111642,1
105733,7
119562,2
108852,2
111126,1
110548,1
108016,1
131876,1
121745,1
121761,1
102867,2
128247,1
105709,1
100521,1
120475,2
128462,1
100663,2
105242,2
104085,1
109737,4
104930,1
109936,1
107709,1
115726,2
121819,2
101542,3
119116,2
124132,1
127598,2
104030,3
127972,1
128338,1
112171,1
123214,1
121704,1
105485,3
106548,2
115216,1
126766,1
103108,2
127753,1
115140,2
128536,3
103921,1
107770,2
120288,1
111747,1
125936,1
128659,3
118871,1
116357,1
119375,2
130703,1
106530,1
106305,2
115919,1
130155,2
123942,1
113746,1
131794,1
102666,4
106347,1
117027,3
130488,2
132421,1
121873,1
101040,1
102933,1
113262,2
129084,2
108379,1
104920,1
100203,2
104496,2
117429,1
115518,1
115714,2
130182,2
105715,1
128926,1
119691,1
125560,1
131511,3
129880,1
117058,1
115786,1
122452,1
129012,2
108136,1
125634,1
120332,1
128831,1
100956,1
114987,1
103779,1
108013,2
123641,1
108887,1
124458,1
103506,1
118217,3
113092,4
121719,1
117745,1
117117,2
119669,1
132122,1
108266,1
115174,1
111309,2
120036,1
105495,1
131750,2
107672,1
131060,1
101294,1
108667,1
104066,1
123851,1
131878,1
114034,1
102137,1
126048,2
109996,1
106378,1
118368,1
102841,1
131667,1
125817,1
121640,1
104722,1
106532,1
110362,1
130022,1
105892,1
102783,1
107875,1
102543,1
104405,1
105280,1
101341,1
103073,1
117458,1
103786,1
119470,1
115089,1
105128,1
118151,1
115133,1
106250,1
123571,1
116526,1
107540,1
131871,0
131895,0
111830,0
132426,0
112502,0
130065,0
127209,0
129455,0
110718,0
102617,0
102573,0
115874,0
112877,0
102942,0
102837,0
101097,0
112863,0
106314,0
127405,0
125853,0
108163,0
109472,0
129821,0
126694,0
104888,0
124052,0
122485,0
126844,0
116957,0
101263,0
110222,0
101909,0
111120,0
120969,0
101732,0
113257,0
119742,0
104118,0
105249,0
100102,0
125911,0
108661,0
119223,0
104646,0
112876,0
128332,0
123383,0
121649,0
127655,0
110965,0
101764,0
108417,0
132398,0
106332,0
107833,0
115734,0
116931,0
116349,0
111636,0
124240,0
132815,0
127431,0
120081,0
116929,0
104262,0
119675,0
107663,0
127611,0
130670,0
112568,0
114099,0
108161,0
127648,0
123182,0
122906,0
132305,0
106213,0
120690,0
103601,0
118538,0
107222,0
127564,0
116027,0
